,datatime,open,high,low,close,volume
0,1609459200000,28923.63000000,29600.00000000,28624.57000000,29331.69000000,54182.92501100
1,1609545600000,29331.70000000,33300.00000000,28946.53000000,32178.33000000,129993.87336200
2,1609632000000,32176.45000000,34778.11000000,31962.99000000,33000.05000000,120957.56675000
3,1609718400000,33000.05000000,33600.00000000,28130.00000000,31988.71000000,140899.88569000
4,1609804800000,31989.75000000,34360.00000000,29900.00000000,33949.53000000,116049.99703800
5,1609891200000,33949.53000000,36939.21000000,33288.00000000,36769.36000000,127139.20131000
6,1609977600000,36769.36000000,40365.00000000,36300.00000000,39432.28000000,132825.70043700
7,1610064000000,39432.48000000,41950.00000000,36500.00000000,40582.81000000,139789.95749900
8,1610150400000,40586.96000000,41380.00000000,38720.00000000,40088.22000000,75785.97967500
9,1610236800000,40088.22000000,41350.00000000,35111.11000000,38150.02000000,118209.54450300
10,1610323200000,38150.02000000,38264.74000000,30420.00000000,35404.47000000,251156.13828700
11,1610409600000,35410.37000000,36628.00000000,32531.00000000,34051.24000000,133948.15199600
12,1610496000000,34049.15000000,37850.00000000,32380.00000000,37371.38000000,124477.91493800
13,1610582400000,37371.38000000,40100.00000000,36701.23000000,39144.50000000,102950.38942100
14,1610668800000,39145.21000000,39747.76000000,34408.00000000,36742.22000000,118300.92091600
15,1610755200000,36737.43000000,37950.00000000,35357.80000000,35994.98000000,86348.43150800
16,1610841600000,35994.98000000,36852.50000000,33850.00000000,35828.61000000,80157.72738400
17,1610928000000,35824.99000000,37469.83000000,34800.00000000,36631.27000000,70698.11875000
18,1611014400000,36622.46000000,37850.00000000,35844.06000000,35891.49000000,79611.30776900
19,1611100800000,35901.94000000,36415.31000000,33400.00000000,35468.23000000,89368.42291800
20,1611187200000,35468.23000000,35600.00000000,30071.00000000,30850.13000000,135004.07665800
21,1611273600000,30851.99000000,33826.53000000,28850.00000000,32945.17000000,142971.68404900
22,1611360000000,32950.00000000,33456.00000000,31390.16000000,32078.00000000,64595.28767500
23,1611446400000,32078.00000000,33071.00000000,30900.00000000,32259.90000000,57978.03796600
24,1611532800000,32259.45000000,34875.00000000,31910.00000000,32254.20000000,88499.22692100
25,1611619200000,32254.19000000,32921.88000000,30837.37000000,32467.77000000,84972.20691000
26,1611705600000,32464.01000000,32557.29000000,29241.72000000,30366.15000000,95911.96171100
27,1611792000000,30362.19000000,33783.98000000,29842.10000000,33364.86000000,92621.14561700
28,1611878400000,33368.18000000,38531.90000000,31915.40000000,34252.20000000,231827.00562600
29,1611964800000,34246.28000000,34933.00000000,32825.00000000,34262.88000000,84889.68134000
30,1612051200000,34262.89000000,34342.69000000,32171.67000000,33092.98000000,68742.28038400
31,1612137600000,33092.97000000,34717.27000000,32296.16000000,33526.37000000,82718.27688200
32,1612224000000,33517.09000000,35984.33000000,33418.00000000,35466.24000000,78056.65988000
33,1612310400000,35472.71000000,37662.63000000,35362.38000000,37618.87000000,80784.33366300
34,1612396800000,37620.26000000,38708.27000000,36161.95000000,36936.66000000,92080.73589800
35,1612483200000,36936.65000000,38310.12000000,36570.00000000,38290.24000000,66681.33427500
36,1612569600000,38289.32000000,40955.51000000,38215.94000000,39186.94000000,98757.31118300
37,1612656000000,39181.01000000,39700.00000000,37351.00000000,38795.69000000,84363.67976300
38,1612742400000,38795.69000000,46794.45000000,37988.89000000,46374.87000000,138597.53691400
39,1612828800000,46374.86000000,48142.19000000,44961.09000000,46420.42000000,115499.86171200
40,1612915200000,46420.42000000,47310.00000000,43727.00000000,44807.58000000,97154.18220000
41,1613001600000,44807.58000000,48678.90000000,43994.02000000,47969.51000000,89561.08145400
42,1613088000000,47968.66000000,48985.80000000,46125.00000000,47287.60000000,85870.03569700
43,1613174400000,47298.15000000,48150.00000000,46202.53000000,47153.69000000,63768.09739900
44,1613260800000,47156.78000000,49707.43000000,47014.17000000,48577.79000000,73735.47553300
45,1613347200000,48580.47000000,49010.92000000,45570.79000000,47911.10000000,79398.15678400
46,1613433600000,47911.10000000,50689.18000000,47003.62000000,49133.45000000,88813.26629800
47,1613520000000,49133.45000000,52618.74000000,48947.00000000,52119.71000000,85743.63781800
48,1613606400000,52117.67000000,52530.00000000,50901.90000000,51552.60000000,60758.04695400
49,1613692800000,51552.61000000,56368.00000000,50710.20000000,55906.00000000,79659.77802000
50,1613779200000,55906.00000000,57700.46000000,53863.93000000,55841.19000000,80948.20531400
51,1613865600000,55841.19000000,58352.80000000,55477.59000000,57408.57000000,58166.70851100
52,1613952000000,57412.35000000,57508.47000000,47622.00000000,54087.67000000,134019.43494400
